time,viseme,voice,teacher_sil,teacher_PP,teacher_FF,teacher_TH,teacher_DD,teacher_kk,teacher_CH,teacher_SS,teacher_nn,teacher_RR,teacher_aa,teacher_E,teacher_I,teacher_O,teacher_U,avr_sil,avr_PP,avr_FF,avr_TH,avr_DD,avr_kk,avr_CH,avr_SS,avr_nn,avr_RR,avr_aa,avr_E,avr_I,avr_O,avr_U
0.00000,0,0.01949,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.02133,0,0.01538,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.04267,0,0.01213,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.96099,0.00309,0.00066,0.00578,0.00071,0.00577,0.00183,0.00201,0.00000,0.00000,0.00034,0.01084,0.00603,0.00000,0.00194
0.06400,0,0.03533,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.93103,0.00547,0.00116,0.01022,0.00126,0.01019,0.00324,0.00355,0.00000,0.00000,0.00061,0.01917,0.01066,0.00000,0.00343
0.08533,0,0.02787,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.89633,0.00822,0.00175,0.01536,0.00190,0.01532,0.00487,0.00534,0.00000,0.00000,0.00091,0.02881,0.01603,0.00000,0.00516
0.10667,0,0.02199,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.88251,0.00932,0.00198,0.01741,0.00215,0.01736,0.00552,0.00605,0.00000,0.00000,0.00104,0.03265,0.01816,0.00000,0.00585
0.12800,0,0.01735,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.87757,0.00971,0.00206,0.01814,0.00224,0.01809,0.00575,0.00630,0.00000,0.00000,0.00108,0.03403,0.01893,0.00000,0.00610
0.14933,0,0.01369,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.87590,0.00984,0.00209,0.01839,0.00227,0.01834,0.00583,0.00639,0.00000,0.00000,0.00109,0.03449,0.01918,0.00000,0.00618
0.17067,0,0.01080,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.87537,0.00988,0.00210,0.01847,0.00228,0.01842,0.00585,0.00641,0.00000,0.00000,0.00110,0.03464,0.01927,0.00000,0.00621
0.19200,0,0.00852,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.87520,0.00990,0.00210,0.01850,0.00229,0.01844,0.00586,0.00642,0.00000,0.00000,0.00110,0.03469,0.01929,0.00000,0.00622
0.21333,0,0.00672,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.87515,0.00990,0.00210,0.01850,0.00229,0.01845,0.00586,0.00643,0.00000,0.00000,0.00110,0.03470,0.01930,0.00000,0.00622
0.23467,0,0.00530,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.87513,0.00990,0.00210,0.01851,0.00229,0.01845,0.00586,0.00643,0.00000,0.00000,0.00110,0.03470,0.01930,0.00000,0.00622
0.25600,0,0.00418,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.87513,0.00990,0.00210,0.01851,0.00229,0.01845,0.00586,0.00643,0.00000,0.00000,0.00110,0.03471,0.01931,0.00000,0.00622
0.27733,0,0.00330,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.87512,0.00990,0.00210,0.01851,0.00229,0.01845,0.00586,0.00643,0.00000,0.00000,0.00110,0.03471,0.01931,0.00000,0.00622
